127.0.0.1 - - [22/Apr/2012:23:34:36 +0530] "GET /weboo/js/script.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:36 +0530] "GET /weboo/js/plugins.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:36 +0530] "GET /weboo/js/libs/modernizr-2.5.3.min.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:36 +0530] "GET /weboo/img/grids.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:37 +0530] "GET /weboo/img/weboo.PNG HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/register.jsp HTTP/1.1" 200 5072
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/css/bootstrap-responsive.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/js/script.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/js/plugins.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:47 +0530] "GET /weboo/js/libs/modernizr-2.5.3.min.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:48 +0530] "GET /weboo/img/weboo.PNG HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:34:48 +0530] "GET /weboo/img/grids.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:13 +0530] "GET /weboo/register.jsp HTTP/1.1" 200 5102
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/css/bootstrap-responsive.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/js/script.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/js/plugins.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2012:23:35:14 +0530] "GET /weboo/js/libs/modernizr-2.5.3.min.js HTTP/1.1" 304 -
